,標題,時間,作者,內文,留言作者,留言
0,[交易] 徵 游牧森林音樂祭早鳥一張,Mon Sep 24 10:42:39 2018,hoyfisk (高魚),"


1.徵/售/換/贈：徵


2.交易項目：游牧森林音樂祭 1380早鳥票


3.交易價格：1380


4.交易時間：即日起到徵到為止


5.交易地點：台北捷運沿線可面交或郵寄我付郵資


6.備註：朋友臨時排出假可以去了！希望有緣人釋出早鳥票！
-----
Sent from JPTT on my iPhone

--
",['mandy466'],[': 已寄信']
1,[交易] 售游牧森林音樂祭票兩張,Mon Sep 24 14:22:07 2018,heis2841u04 (台獨粒粒),"
1.徵/售/換/贈：售


2.交易項目：游牧森林音樂祭 早鳥票


3.交易價格：1380*2=2760


4.交易時間：站內信討論


5.交易地點：台北捷運面交or站內信討論


6.備註：是卡司很棒、規劃看起來也很好玩ㄉ音樂祭，但那幾天突然蹦出很多重要的雜事
要做，忍痛出售ㄌ，懇請大家收我ㄉ票～～

--
",[],[]
2,[交易] 已徵到。游牧森林音樂祭 停車證 可議價,Mon Sep 24 19:19:26 2018,ashenhana (ashen),"

1.徵：10/13-10/14 游牧森林音樂祭

2.交易項目：停車證1張

3.交易價格：原價600（早鳥500），可議價

4.交易時間：徵到為止

5.交易地點：台北各線捷運可達處 或 郵寄

6.備註：沒買到停車證，希望剛好有人要讓出QQ


--
",[],[]
3,[閒聊] 適合婚禮的歌,Mon Sep 24 21:05:50 2018,cjcjovup (雙溪街),"
來閒聊一下.不然板上都快被交易文淹沒了

農曆七月結束後.應該每個周末都有人在辦婚禮吧

臉書都被狂洗板~


如果是交給一般婚禮顧問公司辦

婚宴上差不多就是那些聽到膩的愛情流行歌曲在播放

那如果限定是台灣獨立音樂

大家會想要聽到哪一首歌呢?


第一個躍入我腦海的是旺福的《愛你一兆年》

畢竟當年偶像小民用這首歌求婚的影片真的超讚超感人

本人愛團四分衛的《愛可以讓我們在一起》也好適合

HUSH的《同一個答案》也不賴~

還可以順便向長輩偷渡同婚議題XD


其他的歌就交給大家推文囉!!!


--
","['blueriverya', 'blueriverya', 'hankower', 'xiaowei', 'kazeho', 'andylai1997', 'HSGJR77', 'john0liang', 'john0liang', 'gipo776', 'ken60816', 'ashianQQ', 'ashianQQ', 'eric1788995', 'ck10200503', 'helloliou', 'cov', 'cov', 'ComboDayCH', 'bigbang1127', 'witchgaze', 'kk032576', 'alice645845', 'watnanaann23', 'alice645845', 'dengjyun', 'Hiara', 'fish510468', 'themask7742', 'nuclear211', 'fantasyever', 'blacksword08', 'susukkk', 'susukkk', 'susukkk', 'LanceHaHa', 'sissy27', 'e80729', 'Xuan0313', 'ice80416', 'Yanagi5566', 'yashirelll', 'vxior', 'vxior', 'AdeM', 'xyz30800', 'chiichi', 'blueskymaple', 'cocoed1012', 'yiland', 'swajiro', 'balagagaga', 'ismydear', 'ismydear', 'ismydear', 'ArcTangent', 'cortisol', 'pineapple824', 'cjcjovup', 'cjcjovup', 'Oceanpeter', 'Xuan0313']","[': 留給你的我從未 不是因為天氣晴朗才愛你 剛好播到XD', ': 再推一個你是我最愚蠢的一次浪漫', ': 我當你空氣', ': http://verywed.com/forum/expexch/3033962.html', ': 直接請林貓王當DJ (誤)', ': 宜農的還是會害怕失去你跟beautiful song', ': https://youtu.be/GuM1IyE8P1M〈許哲珮 美好的', ': 回聲樂團 - 成為我的新娘', ': https://youtu.be/WMKcaJzrWDc', ': 最後一個', ': 當然是愛你一兆年R', ': 落日飛車的不知道適不適合', ': 98 呂士軒', ': 偷渡一首流行樂，李榮浩-哎呀', ': 先知瑪莉的yes I do', ': 草莓救星&甜梅號-這樣的我', ': Ladies and Gentlemen We Are Floating in Space', ': 雖然背景是失戀但超多DJ會剪中間段落放XD', ': 我多麼想成為你的鹿 個人推法蘭黛版的', ': 你是我的WiFi XD', ': 推個林貓王 音樂啟蒙', ': 我當你空氣 不是因為天氣晴朗才愛你', ': 法蘭黛-永遠在一起、Every word', ': 推林貓王+1XD', ': 法蘭黛-就是啊', ': 清新一點的吧 Pia、雀斑', ': 不是因為天氣晴朗才愛你～', ': 請貓王當DJ+1 回聲的時髦也可以啊', ': 夜貓組-你是我的wifi', ': 你是我的wifi', ': mary see the future - yes I do', ': 推瑪莉 yes I do 超浪漫', ': 我自己想要拿來當婚禮歌曲的是巨大轟鳴-我愛你因為你有', ': 大眼睛（因為我大眼睛XD', ': 還有滅火器最後一個啊！！！！超浪漫', ': 草東-情歌（誤', ': 滅 最後一個+1', ': 最後一個+beautiful song，再來一首Can I be your baby', ': Yes I do +1', ': 落日飛車、滅火器最後一個！！', ': 喵電感應', ': 等待雨散', ': MSF的yes I do', ': 落日飛車I know you know I love you', ': 分享去年婚禮歌單～ http://bit.ly/2pBt9VE', ': 法蘭 - may I kiss you goodnight,這首非常甜', ': 落日飛車', ': 我當你空氣', ': Yes I do真的超浪漫！！！', ': Yes I do', ': 黃玠 你，棉花糖 陪你到世界終結，', ': 男右女左', ': 我在婚禮聽過my little airport', ': 總之就是 自己喜歡就放啊 想到適不適合婚禮反而會被限', ': 制住', ': 推這串', ': 推撒小樂團的愛了，暖暖的歌詞', ': yes I do，每次在現場聽都想求婚（什麼）', ': 也不能真的喜歡就放啦XD如果放到歌詞寫著兩人最後分手', ': 的歌也挺尷尬XD', ': 推滅火器 最後一個', ': 洪安妮 這就是愛情吧']"
4,[交易] 售 茄子蛋 9/28 台中場,Tue Sep 25 10:45:49 2018,coldplay0211 (賈奈特),"

1.售： 門票


2.交易項目：茄子蛋 9/28 台中場


3.交易價格： 600


4.交易時間： 內洽


5.交易地點： 西屯為佳


6.備註：歡迎站內討論

朋友突然有事
然後我就沒朋友了..

--
","['ashianQQ', 'Yanagi5566', 'Yanagi5566', 'john0liang', 'Yanagi5566', 'bboc04']","[': 沒關c，我去看也沒朋友', ': 收！', ': 寶寶還在念東海可以西屯面交ˊˇˋ', ': 只好湊一湊一起當朋友了？', ': 樓上我朋友', ': 請問還有票嗎....！？']"
5,[情報] 苗栗苑裡掀海風2018海風季,Wed Sep 26 00:29:00 2018,td162940 (會走路的香菇),"

        2018海風季 Hi Home Festival
＃海風季 邁入了第二年！
大家還記得嗎？去年，我們從零開始，60天籌備的馬拉松，第一屆海風季圓滿告成。
在苑裡房裡古城，我們一起辦了海風音樂會、廟口市集、手作DIY、榕樹下開講、蚊子電
影院，捲動近 ＃800人次志工，也帶動近 ＃3500人次，苑裡返鄉遊子和外地人，重新認
識苑裡這座濱海小鎮。
苑裡農村小鎮，其實臥龍藏虎，有許多隱藏版的文化寶藏。
過去，只是我們太少放慢腳步、不曾更貼近土地、換個視角看待家鄉——那些身懷的絕技
 ＃職人，那些堅持友善種植的 ＃農夫，那些返鄉有創意和活力的 ＃青年，他們的生命
姿態，是如何在土地上印下痕跡，土地又如何滋養著他們的生活。
因為有這群人們，活得如此堅持且任性，苑裡的各個角落，有著精彩動人的故事和生命力
；也因為苑裡有山、有海、有屯的多元地景，沈澱著深厚的風土底蘊。
每年辦海風季希望做到的，不過如此——結合地方文化和凝聚在地活力，眾人群策群力群
資，以行動提出農村新想像的宣言： ＃台灣農村很有文化生命力，＃苑裡小鎮可以很不
一樣！
第二屆海風季，來遲了，但也永遠不嫌晚。
10/13（六），海風再起，農藝復興！
邀請你一起返鄉，來苑裡吹海風、聽音樂和感受小鎮新生命！
——————

    2018海風季 Hi Home Festival
時間｜2018/10/13（六）10:00 - 18:00
地點｜縣立苑裡中學 客庄校區（苗栗縣苑裡鎮新興路19號）
活動｜土地音樂會、草地市集、手作DIY活動、農村論壇、田調展覽
    土地音樂會——海風輕輕吹，聆聽來自土地的聲音
農村武裝青年、吳志寧、黃瑋傑、郭芝苑室內合唱團、消波塊樂團、徐靖雯、黃裕欽 、
更多邀請中
    草地市集——最接地氣的好農、好藝
友善農產     Ｘ 新鮮好食     Ｘ 手作職人   Ｘ 議題理念
    田調展覽——市場人生百工圖
    農村論壇——土裡土氣鬥嘴鼓
    手作DIY——創造／修復，身體與土地的連結

——————
主辦單位｜苑裡掀海風、台灣農村文化教育協會籌備處
協辦單位｜苑裡咖啡-苑裡好咖Yours Cafe、原豆粹食、四川涼麵。良麵、杰西空間 、苗
栗縣立苑裡高級中學

——————
募資預告：https://goo.gl/yzaqtK
苑裡掀海風粉絲專頁：  https://www.facebook.com/taketheseawind/
https://imgur.com/a/baUpnDh

第一波歌手介紹
https://i.imgur.com/ExWYczr.jpg
--
",['blueskymaple'],[': 推推消波塊']
6,[出售] 遊牧森林音樂祭門票,Wed Sep 26 12:39:11 2018,be237 (兇巴拉逼波),"

節目：10/13-10/14 遊牧森林音樂祭
地點：南投暨南大學
時間： 10/13-10/14
原價：網路早鳥票1580 元
售價：1550元
張數：2張

連絡方式：站內信
備註：網路QR code票卷，兩張一起優先，朋友突然有事臨時不能去看演出，希望有緣人參考參考～～
-----
Sent from JPTT on my iPhone

--
",[],[]
7,[交易] 遊牧森林音樂祭門票,Wed Sep 26 14:24:07 2018,tanghan (tanghan),"

1.徵/售/換/贈：10/13.14遊牧森林音樂祭

2.交易項目：早鳥票2張

3.交易價格：1380*2+郵資

4.聯絡方式：站內信

5.備註：朋友多買，幫忙販售，感謝大家～

-----
Sent from JPTT on my iPhone

--
",[],[]
8,[交易] 遊牧森林音樂祭 早鳥票,Wed Sep 26 15:32:05 2018,vivavan (VAN),"
節目：遊牧森林音樂祭
地點：暨南大學
時間： 10/13-14
原價：早鳥票1380元
售價：1380
張數：4張 可拆售

交易方式：面交（台北）/ 郵寄
連絡方式：站內信/e-mail : [email protected]

--
",[],[]
9,[交易] 徵 茄子蛋9/30《想妳的彼岸》台北場,Wed Sep 26 23:12:00 2018,j6nu3 (541),"
徵求 茄子蛋 2018《想妳的彼暗》巡迴-台北場

單人票*2 或 雙人套票

女友說她生日想聽她男友（？）阿斌唱歌
結果我們一時錯過了搶票時間
不知道有沒有大大們割愛
雙北都可以面交 時間可再討論
感恩惜福

--
",[],[]
